promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
    315  0.12000E+00  0.38486E-03  0.18010E+07  0.16908E-28  0.16182E+02  0.00000E+00  0.27086E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.19475E-21 -0.20032E+00  0.27057E+05  0.18001E+01  0.75005E-02  0.12720E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    341  0.13000E+00  0.38485E-03  0.17956E+07  0.27603E-28  0.19942E+02  0.00000E+00  0.26992E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.10003E-19 -0.20033E+00  0.26959E+05  0.18001E+01  0.74602E-02  0.13707E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    367  0.14000E+00  0.38484E-03  0.17899E+07  0.36511E-28  0.24201E+02  0.00000E+00  0.26893E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.47948E-20 -0.20033E+00  0.26856E+05  0.18001E+01  0.74205E-02  0.14693E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    393  0.15000E+00  0.38484E-03  0.17838E+07  0.46186E-28  0.28975E+02  0.00000E+00  0.26789E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.45778E-20 -0.20033E+00  0.26747E+05  0.18001E+01  0.73812E-02  0.15677E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    419  0.16000E+00  0.38485E-03  0.17774E+07  0.56211E-28  0.34280E+02  0.00000E+00  0.26681E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.56166E-20 -0.20033E+00  0.26634E+05  0.18002E+01  0.73425E-02  0.16661E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    445  0.17000E+00  0.38485E-03  0.17707E+07  0.74000E-28  0.40130E+02  0.00000E+00  0.26568E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.97326E-21 -0.20033E+00  0.26516E+05  0.18001E+01  0.73044E-02  0.17643E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    471  0.18000E+00  0.38485E-03  0.17636E+07  0.92825E-28  0.46537E+02  0.00000E+00  0.26452E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.29393E-19 -0.20032E+00  0.26393E+05  0.18001E+01  0.72668E-02  0.18624E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    497  0.19000E+00  0.38485E-03  0.17563E+07  0.11369E-27  0.53513E+02  0.00000E+00  0.26332E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.33153E-19 -0.20032E+00  0.26266E+05  0.18001E+01  0.72297E-02  0.19603E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    523  0.20000E+00  0.38485E-03  0.17486E+07  0.12500E-27  0.61064E+02  0.00000E+00  0.26208E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.58197E-20 -0.20032E+00  0.26134E+05  0.18001E+01  0.71933E-02  0.20581E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    549  0.21000E+00  0.38485E-03  0.17407E+07  0.12671E-27  0.69198E+02  0.00000E+00  0.26081E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.43592E-19 -0.20031E+00  0.25999E+05  0.18001E+01  0.71575E-02  0.21558E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    575  0.22000E+00  0.38485E-03  0.17325E+07  0.12798E-27  0.77919E+02  0.00000E+00  0.25951E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.23800E-19 -0.20031E+00  0.25860E+05  0.18001E+01  0.71223E-02  0.22533E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    601  0.23000E+00  0.38484E-03  0.17240E+07  0.14382E-27  0.87230E+02  0.00000E+00  0.25818E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.38528E-19 -0.20030E+00  0.25718E+05  0.18001E+01  0.70877E-02  0.23506E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    627  0.24000E+00  0.38484E-03  0.17153E+07  0.15228E-27  0.97134E+02  0.00000E+00  0.25682E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.50348E-19 -0.20030E+00  0.25572E+05  0.18001E+01  0.70537E-02  0.24477E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    653  0.25000E+00  0.38484E-03  0.17063E+07  0.15076E-27  0.10763E+03  0.00000E+00  0.25544E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.42699E-19 -0.20029E+00  0.25424E+05  0.18001E+01  0.70205E-02  0.25446E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    679  0.26000E+00  0.38484E-03  0.16970E+07  0.15530E-27  0.11872E+03  0.00000E+00  0.25403E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.49031E-20 -0.20029E+00  0.25272E+05  0.18001E+01  0.69879E-02  0.26414E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    705  0.27000E+00  0.38484E-03  0.16876E+07  0.16846E-27  0.13040E+03  0.00000E+00  0.25261E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.97450E-20 -0.20028E+00  0.25118E+05  0.18001E+01  0.69562E-02  0.27379E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    731  0.28000E+00  0.38484E-03  0.16779E+07  0.18298E-27  0.14265E+03  0.00000E+00  0.25116E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.11612E-20 -0.20028E+00  0.24961E+05  0.18001E+01  0.69252E-02  0.28344E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    757  0.29000E+00  0.38483E-03  0.16679E+07  0.19082E-27  0.15548E+03  0.00000E+00  0.24969E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.86709E-20 -0.20027E+00  0.24801E+05  0.18001E+01  0.68950E-02  0.29308E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    783  0.30000E+00  0.38483E-03  0.16578E+07  0.20183E-27  0.16887E+03  0.00000E+00  0.24821E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.29970E-19 -0.20026E+00  0.24639E+05  0.18001E+01  0.68655E-02  0.30271E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    809  0.31000E+00  0.38483E-03  0.16475E+07  0.22335E-27  0.18281E+03  0.00000E+00  0.24671E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.20122E-19 -0.20026E+00  0.24476E+05  0.18001E+01  0.68368E-02  0.31234E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    835  0.32000E+00  0.38483E-03  0.16369E+07  0.24937E-27  0.19729E+03  0.00000E+00  0.24520E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.31040E-19 -0.20025E+00  0.24310E+05  0.18002E+01  0.68089E-02  0.32196E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    861  0.33000E+00  0.38483E-03  0.16262E+07  0.27374E-27  0.21231E+03  0.00000E+00  0.24367E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.15269E-20 -0.20024E+00  0.24142E+05  0.18002E+01  0.67816E-02  0.33156E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    887  0.34000E+00  0.38482E-03  0.16153E+07  0.29947E-27  0.22786E+03  0.00000E+00  0.24213E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.57219E-21 -0.20023E+00  0.23973E+05  0.18002E+01  0.67550E-02  0.34115E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    913  0.35000E+00  0.38482E-03  0.16042E+07  0.33395E-27  0.24393E+03  0.00000E+00  0.24058E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.25760E-20 -0.20023E+00  0.23802E+05  0.18002E+01  0.67274E-02  0.35072E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    939  0.36000E+00  0.38481E-03  0.15929E+07  0.36057E-27  0.26050E+03  0.00000E+00  0.23902E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.37850E-19 -0.20022E+00  0.23629E+05  0.18002E+01  0.66993E-02  0.36028E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    965  0.37000E+00  0.38481E-03  0.15815E+07  0.35362E-27  0.27756E+03  0.00000E+00  0.23746E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.51528E-20 -0.20021E+00  0.23456E+05  0.18002E+01  0.66719E-02  0.36982E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
    991  0.38000E+00  0.38480E-03  0.15700E+07  0.33018E-27  0.29510E+03  0.00000E+00  0.23588E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.12252E-19 -0.20020E+00  0.23281E+05  0.18002E+01  0.66453E-02  0.37933E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1017  0.39000E+00  0.38480E-03  0.15583E+07  0.32920E-27  0.31311E+03  0.00000E+00  0.23431E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.33210E-20 -0.20019E+00  0.23105E+05  0.18002E+01  0.66194E-02  0.38884E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1043  0.40000E+00  0.38480E-03  0.15465E+07  0.34413E-27  0.33156E+03  0.00000E+00  0.23272E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.11569E-19 -0.20018E+00  0.22928E+05  0.18003E+01  0.65941E-02  0.39832E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1069  0.41000E+00  0.38479E-03  0.15345E+07  0.37197E-27  0.35045E+03  0.00000E+00  0.23113E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.18245E-19 -0.20018E+00  0.22750E+05  0.18003E+01  0.65695E-02  0.40780E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1095  0.42000E+00  0.38479E-03  0.15225E+07  0.40830E-27  0.36975E+03  0.00000E+00  0.22954E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.13155E-19 -0.20017E+00  0.22572E+05  0.18003E+01  0.65455E-02  0.41726E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1121  0.43000E+00  0.38479E-03  0.15103E+07  0.44400E-27  0.38945E+03  0.00000E+00  0.22795E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.21073E-19 -0.20016E+00  0.22393E+05  0.18003E+01  0.65220E-02  0.42671E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1147  0.44000E+00  0.38479E-03  0.14980E+07  0.46772E-27  0.40954E+03  0.00000E+00  0.22635E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.10577E-19 -0.20015E+00  0.22213E+05  0.18003E+01  0.64991E-02  0.43615E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1173  0.45000E+00  0.38479E-03  0.14856E+07  0.48827E-27  0.42998E+03  0.00000E+00  0.22476E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.83625E-20 -0.20014E+00  0.22033E+05  0.18003E+01  0.64767E-02  0.44558E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1199  0.46000E+00  0.38480E-03  0.14732E+07  0.51489E-27  0.45077E+03  0.00000E+00  0.22316E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.11700E-19 -0.20013E+00  0.21853E+05  0.18003E+01  0.64546E-02  0.45499E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1225  0.47000E+00  0.38480E-03  0.14606E+07  0.54576E-27  0.47189E+03  0.00000E+00  0.22157E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.52909E-19 -0.20012E+00  0.21672E+05  0.18003E+01  0.64327E-02  0.46436E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1251  0.48000E+00  0.38480E-03  0.14480E+07  0.57449E-27  0.49333E+03  0.00000E+00  0.21998E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.31338E-19 -0.20011E+00  0.21492E+05  0.18003E+01  0.64110E-02  0.47367E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1277  0.49000E+00  0.38481E-03  0.14353E+07  0.59450E-27  0.51508E+03  0.00000E+00  0.21839E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.46822E-19 -0.20010E+00  0.21311E+05  0.18002E+01  0.63893E-02  0.48292E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1303  0.50000E+00  0.38481E-03  0.14226E+07  0.61569E-27  0.53714E+03  0.00000E+00  0.21680E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.18609E-19 -0.20008E+00  0.21130E+05  0.18002E+01  0.63675E-02  0.49209E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1329  0.51000E+00  0.38480E-03  0.14098E+07  0.64951E-27  0.55951E+03  0.00000E+00  0.21522E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.52066E-19 -0.20007E+00  0.20950E+05  0.18002E+01  0.63457E-02  0.50121E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1355  0.52000E+00  0.38480E-03  0.13969E+07  0.68999E-27  0.58217E+03  0.00000E+00  0.21365E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.49337E-20 -0.20006E+00  0.20770E+05  0.18002E+01  0.63240E-02  0.51031E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1381  0.53000E+00  0.38480E-03  0.13840E+07  0.72519E-27  0.60511E+03  0.00000E+00  0.21208E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.43829E-19 -0.20005E+00  0.20590E+05  0.18002E+01  0.63025E-02  0.51944E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1407  0.54000E+00  0.38480E-03  0.13711E+07  0.74746E-27  0.62829E+03  0.00000E+00  0.21052E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.13459E-19 -0.20003E+00  0.20411E+05  0.18002E+01  0.62815E-02  0.52868E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1433  0.55000E+00  0.38480E-03  0.13581E+07  0.76429E-27  0.65165E+03  0.00000E+00  0.20896E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.15361E-21 -0.20002E+00  0.20232E+05  0.18002E+01  0.62614E-02  0.53807E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1459  0.56000E+00  0.38480E-03  0.13451E+07  0.77367E-27  0.67514E+03  0.00000E+00  0.20741E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.31053E-20 -0.20000E+00  0.20053E+05  0.18002E+01  0.62419E-02  0.54757E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1485  0.57000E+00  0.38480E-03  0.13321E+07  0.78670E-27  0.69869E+03  0.00000E+00  0.20586E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.10760E-20 -0.19999E+00  0.19875E+05  0.18001E+01  0.62227E-02  0.55713E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1511  0.58000E+00  0.38480E-03  0.13190E+07  0.83008E-27  0.72228E+03  0.00000E+00  0.20432E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.39256E-20 -0.19998E+00  0.19697E+05  0.18001E+01  0.62036E-02  0.56668E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1537  0.59000E+00  0.38480E-03  0.13059E+07  0.89526E-27  0.74588E+03  0.00000E+00  0.20278E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.99912E-20 -0.19996E+00  0.19519E+05  0.18001E+01  0.61843E-02  0.57614E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1563  0.60000E+00  0.38480E-03  0.12928E+07  0.99953E-27  0.76950E+03  0.00000E+00  0.20125E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.15395E-19 -0.19995E+00  0.19342E+05  0.18001E+01  0.61645E-02  0.58544E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1589  0.61000E+00  0.38480E-03  0.12796E+07  0.11124E-26  0.79316E+03  0.00000E+00  0.19972E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.43137E-19 -0.19993E+00  0.19166E+05  0.18001E+01  0.61441E-02  0.59458E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1615  0.62000E+00  0.38480E-03  0.12665E+07  0.12202E-26  0.81688E+03  0.00000E+00  0.19820E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.23087E-20 -0.19991E+00  0.18991E+05  0.18002E+01  0.61235E-02  0.60360E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1641  0.63000E+00  0.38480E-03  0.12534E+07  0.12969E-26  0.84067E+03  0.00000E+00  0.19670E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.44045E-20 -0.19990E+00  0.18817E+05  0.18002E+01  0.61028E-02  0.61256E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1667  0.64000E+00  0.38480E-03  0.12402E+07  0.13701E-26  0.86451E+03  0.00000E+00  0.19520E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.53495E-20 -0.19988E+00  0.18643E+05  0.18002E+01  0.60824E-02  0.62153E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1693  0.65000E+00  0.38480E-03  0.12271E+07  0.14553E-26  0.88838E+03  0.00000E+00  0.19372E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.42202E-20 -0.19987E+00  0.18471E+05  0.18002E+01  0.60624E-02  0.63055E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1719  0.66000E+00  0.38480E-03  0.12140E+07  0.15433E-26  0.91225E+03  0.00000E+00  0.19224E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.41606E-20 -0.19985E+00  0.18299E+05  0.18002E+01  0.60430E-02  0.63964E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1745  0.67000E+00  0.38480E-03  0.12009E+07  0.16102E-26  0.93608E+03  0.00000E+00  0.19077E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.87513E-20 -0.19983E+00  0.18129E+05  0.18002E+01  0.60239E-02  0.64876E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1771  0.68000E+00  0.38480E-03  0.11878E+07  0.16757E-26  0.95984E+03  0.00000E+00  0.18932E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.48423E-19 -0.19982E+00  0.17959E+05  0.18002E+01  0.60052E-02  0.65790E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1797  0.69000E+00  0.38480E-03  0.11748E+07  0.17507E-26  0.98351E+03  0.00000E+00  0.18787E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.24107E-19 -0.19980E+00  0.17791E+05  0.18002E+01  0.59867E-02  0.66702E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1823  0.70000E+00  0.38480E-03  0.11617E+07  0.18273E-26  0.10071E+04  0.00000E+00  0.18643E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.69679E-20 -0.19978E+00  0.17624E+05  0.18002E+01  0.59684E-02  0.67612E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1849  0.71000E+00  0.38480E-03  0.11487E+07  0.19024E-26  0.10305E+04  0.00000E+00  0.18501E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.84438E-20 -0.19977E+00  0.17458E+05  0.18002E+01  0.59501E-02  0.68518E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1875  0.72000E+00  0.38480E-03  0.11358E+07  0.19739E-26  0.10539E+04  0.00000E+00  0.18359E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.14075E-19 -0.19975E+00  0.17293E+05  0.18002E+01  0.59321E-02  0.69421E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1901  0.73000E+00  0.38480E-03  0.11228E+07  0.20405E-26  0.10770E+04  0.00000E+00  0.18218E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.33252E-19 -0.19973E+00  0.17129E+05  0.18002E+01  0.59141E-02  0.70322E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1927  0.74000E+00  0.38480E-03  0.11099E+07  0.20905E-26  0.11001E+04  0.00000E+00  0.18079E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.88734E-20 -0.19972E+00  0.16966E+05  0.18002E+01  0.58963E-02  0.71222E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1953  0.75000E+00  0.38480E-03  0.10971E+07  0.21351E-26  0.11230E+04  0.00000E+00  0.17940E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.12932E-19 -0.19970E+00  0.16805E+05  0.18002E+01  0.58787E-02  0.72121E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   1979  0.76000E+00  0.38480E-03  0.10843E+07  0.21895E-26  0.11457E+04  0.00000E+00  0.17803E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.83577E-20 -0.19968E+00  0.16645E+05  0.18002E+01  0.58612E-02  0.73018E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2005  0.77000E+00  0.38480E-03  0.10715E+07  0.22508E-26  0.11681E+04  0.00000E+00  0.17667E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.78069E-20 -0.19966E+00  0.16486E+05  0.18002E+01  0.58439E-02  0.73914E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2031  0.78000E+00  0.38480E-03  0.10588E+07  0.23178E-26  0.11904E+04  0.00000E+00  0.17532E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.31718E-19 -0.19965E+00  0.16329E+05  0.18002E+01  0.58267E-02  0.74810E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2057  0.79000E+00  0.38481E-03  0.10462E+07  0.23804E-26  0.12125E+04  0.00000E+00  0.17398E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.36445E-19 -0.19963E+00  0.16173E+05  0.18002E+01  0.58096E-02  0.75704E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2083  0.80000E+00  0.38481E-03  0.10336E+07  0.24311E-26  0.12343E+04  0.00000E+00  0.17265E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.23302E-20 -0.19961E+00  0.16018E+05  0.18003E+01  0.57927E-02  0.76596E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2109  0.81000E+00  0.38481E-03  0.10210E+07  0.24823E-26  0.12559E+04  0.00000E+00  0.17133E+05  0.12530E+02  0.12530E+02  0.00000E+00 -0.91607E-21 -0.19959E+00  0.15864E+05  0.18003E+01  0.57759E-02  0.77488E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2135  0.82000E+00  0.38481E-03  0.10085E+07  0.25317E-26  0.12773E+04  0.00000E+00  0.17002E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.87877E-20 -0.19957E+00  0.15712E+05  0.18003E+01  0.57592E-02  0.78378E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2161  0.83000E+00  0.38481E-03  0.99613E+06  0.25843E-26  0.12983E+04  0.00000E+00  0.16873E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.16042E-19 -0.19956E+00  0.15562E+05  0.18003E+01  0.57426E-02  0.79268E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
   2187  0.84000E+00  0.38482E-03  0.98378E+06  0.26294E-26  0.13191E+04  0.00000E+00  0.16744E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.19168E-19 -0.19954E+00  0.15413E+05  0.18003E+01  0.57262E-02  0.80157E-01  0.80000E+00  0.10000E+00  0.10000E+00   180    90   360
